"REST Service","E -900000000","Invalid request. Please correct and resend the request.","User tries to submit the REST request providing an invalid request data"
"PPCS","E-100010015","Stop Payment Order cannot be processed because one or more potential duplicate PPCS transactions have been identified","User submits a duplicate stop payment order and member wants to avoid any duplicate PPCS submission"
"CFL","E-100010019","One or more of the cases selected for case filing was previously filed as a secondary case in a bundled/related pended or submitted case filing.","User attempts to file case filing in a secondary case which was previously filed as multi-filing."
"Repre","E-100010020","Invalid action according to Nigerian domestic dispute rules. More than <X> days have passed from the CPD of ATM Chargeback.","User submits representment on an ATM Nigerian Domestic transaction any later than X days (currently 7) from CB CPD"
"Repre","E-100010022","Invalid action according to Nigerian domestic dispute rules. More than <X> days have passed from the CPD of POS Chargeback.","User submits representment on an POS Nigerian Domestic transaction any later than X days (currently 12) from CB CPD"
"Security ","E-101  ","Maximum login attempts have been exceeded.   Please contact <regional contact information>.","A user is allowed three successive login attempts in 5 minutes before his/ her account is temporarily disabled. This error message indicates the last of those attempts If you need assistance, please contact ROL support for your region."
"Security ","E-102  ","Invalid user name and/or password  ","An invalid username and/or password was entered.  Please correct and resubmit.  "
"Security ","E-103  ","Password has expired.  ","An expired password was detected during Login.  Submit a ChangePassword operation to create a new password.  "
"Security ","E-104  ","Password has expired.  ","User entered an expired password while trying to change to a new password.Submit a ChangePassword operation to create a new password.  "
"Security ","E-105  ","New password required. ","The password has become invalid for reasons other than expiration.  Submit a ChangePassword operation to create a new password.  "
,"E-110000005","Invalid User","User has logged in to RTSI successfullly, but sends an invalid value in the User id element  in a subsequent request."
"Batch","E-115000011","Invalid combination of  Case Number, Close Item ID, Tran Type","User is providing invalid combination of TranType, CloseItemId and Case Number"
"Batch","E-115000012","User cannot change case resolution status of an unassigned case","User tries to change CRS of an unassigned case"
"Batch","E-115000013","Incorrect case resolution status update to an existing status","User attempts to change case resolution status to same status"
"Case","E-120000000","Internal system error has occurred. Contact <regional contact information>.  Error Details:  unable to process case.","An internal system error has occurred and the request could not be processed at this time. Contact ROL support for your region."
"Case","E-120000004","Case could not be updated because no matching case was found.","Member should review the supplied case matching information is sufficient to match an existing case."
"Case","E-120000005","Case could not be updated because multiple matching cases were found.","Member should review the supplied case matching information and supply additional or new fields to return unique case."
"Case","E-120000008","The user ID ‘x’ does not have a role with the authority for this case operation.  Please contact your Site Administrator.","The Member Site Administrator must change the role or the case must be resubmitted with a user ID with a role that has authority to upload images."
"Case","E-120000010","Case failed due to questionnaire related failure.  Contact <regional contact information>.","An internal system error has occurred at the case level and the case could not be processed at this time. Contact ROL support for your region."
"Case","E-120000016","The supplied user ID ‘x’ does not exist in ROL.  Please contact your Site Administrator.","The user ID was not found in the ROL User list.  Either resend the case with a valid User ID or contact the ROL Help Desk to add or reactivate this user ID."
"Case  ","E-120000017","Invalid form type for this org type.","Member uploaded a questionnaire or form that was invalid for their type of organization.  For example, an Issuer uploaded a Representment, or an Acquirer uploaded a Request for Copy."
"Case","E-120000019","The supplied  QuestionnaireDescriptor ""type"" is invalid for your type of organization and the current case stage and state.","Member tried to update a questionnaire by changing its type to a value not allowed for the member's organization type (issuer or acquirer).  Please correct and resubmit."
"Case","E-120000027","One or more key fields entered in the TransactionInfo section do not match the case, so the case cannot be updated.","One or more key fields entered in the TransactionInfo section do not match the case, so the case cannot be updated."
"Case","E-120000029","CaseType is required.","Member submitted a manual case creation BQIUploadRequest without the mandatory field ""Case Type""."
"Case","E-120000036","Transaction ID must be greater than zero to be used as the only Case Matching parameter.","Member specified a single case matching parameter of transaction id, but supplied zero for the value of the Transaction [id] attribute within CaseMatchingInfo.  Please correct and resubmit the case."
"Case","E-120000037","Invalid MerchantCity. The length cannot be greater than <27/50> characters.","User tries to submit a ManualCaseCreationRequest by specifying a value for MerchantCity that is greater than 27/50 characters"
"Login ","E-120000038","Unknown User ID","Member supplied a login id that is not recognized.  The id may be incorrect or may have been purged by Visa Online."
"Global","E-120000039","Unable to locate this Acquirer BIN in the VIS master tables. If you feel you have received this message in error, please contact <regional contact info>.","User attempts to submit an Acquirer BIN value for Visa, Interlink, or Plus network transactions. Please validate that the Acquirer BIN is correct."
"Case Folder","E-120000044","You cannot unlink cases that are not currently linked.","Member submitted a request to unlink cases that are not linked."
"Case Folder","E-120000045","You cannot link cases that are already linked.","Member submitted a request to link cases that are already linked."
"Case Folder","E-120000048","Invalid Acquirer Institution ID.  Acquirer Institution ID should be a <6, 9> digit numeric value.","Member submitted Acquirer Institution ID with an invalid length.  Please correct and resubmit."
"Case Folder","E-120000051","User does not have work access to this case","User attempts to modify a case where the user does not have Admin rights to work on the case. Or user is requesting details of transaction belonging to another organization. Or there is no VROL case with this VROL Case Number"
"Case Folder","E-120000052","Master Case is not supported for POS Check transactions.","User attempts to create a master case for a POS Check transaction through BulkSI/RTSI."
,"E-120000054","The User ID does not have work access to this case, as the dispute amount is outside the allowed range in the user’s profile","User attempts to submit a transaction requiring work access with a dispute amount outside the allowed range in the user’s profile"
"Case Folder","E-120000055","CardholderContactDate cannot be a future date","Member supplied CardholderContactDate with a future date. Please correct and resubmit."
"Case Folder","E-120000061","You cannot link a case to itself.","Submit"
"Questionnaire","E-120000063","The provided Visa Case Number does not exist or the user does not have access to this case number.","Invalid case number"
,"E-120000064","Please contact your adminstrator to verify your ROL user setup","RTSI user logins to VROL with a user ID that has VOL access but is not set up in VROL yet"
"Case Folder","E-120000072","Master Case is not supported for your Organization.","User tries to submit a Case creation request with Master Case details as an Acquirer."
"Case","E-120000500","Processor/Member is not entitled to access this case.","The Processor/Member does not have the proper entitlement privileges associated with the supplied case. Please check Member’s entitlement settings and resend the case."
"Multiple","E-121000000","Invalid Amount. This entry must be numeric and include 2 decimal values.",
"Questionnaire - General","E-121000002","You cannot perform this action for <a/an> <Transaction Type > transaction.","VROL does not support processing the submitted form/questionnaire for the specified original transaction type."
"Batch","E-121000003","The value of StartDate cannot be a date in the future.","Member has a supplied a date parameter that is in the future. Please correct the data and resend the case"
"Questionnaire - General","E-121000006","This form is being edited by another user.  You cannot dispute at this time.","Member is trying to dispute a case where the questionnaire is being edited by another user. Please ensure that the questionnaire is not in the edit process and resend the case. "
"Questionnaire - General","E-121000009","DisputeAmt cannot be greater than the Amount specified under TransactionInfo.","Dispute amount cannot be greater than the transaction amount.  Please correct and resubmit."
"Questionnaire","E-121000010","You must provide either ARN or all of the following: AcquirerBIN , SystemTraceAuditNumber and RetrievalReferenceNumber","Member has not provided value for ARN or all of the following: AcquirerBIN , SystemTraceAuditNumber and RetrievalReferenceNumber. Please resubmit with correct data."
"Multiple","E-121000011","Invalid Acquirer BIN. Acquirer BIN should be a 6 digit numeric value.","Member has provided invalid  Acquirer Bin. Please resubmit with correct data."
"Questionnaire - General","E-121000013","There was an Internal System Error while attempting to “Pend” the questionnaire.  Please contact <regional contact information>.","There was a system or application error while attempting to pend the questionnaire. Please resend this case. If problems persist, please contact ROL support for your region."
"Questionnaire - General","E-121000014","There was an Internal System Error while attempting to “Submit” the questionnaire.  Please contact <regional contact information>.","There was a system or application error while attempting to submit the questionnaire. Please resend this case. If problems persist, please contact ROL support for your region."
"Questionnaire - General","E-121000015","There was an Internal System Error while attempting to “Delete” the questionnaire.  Please contact <regional contact information>.","There was a system or application error while attempting to delete the questionnaire. Please resend this case. If problems persist, please contact ROL support for your region."
"Questionnaire - General","E-121000016","The currency amount cannot exceed 9,999,999.99","Member has provided a currency amount that has exceeded 9,999,999.99. Please correct and resend the case"
"Questionnaire - General","E-121000017","Required documents are missing.  Please attach a document.","Member has not provided document(s) that is required to process/match questionnaire. Please provide required document (s) and resend the case."
"Questionnaire - General","E-121000018","Required documents are missing.  Please attach a Sales Draft document.","Member has not provided document(s) that is required to process/match questionnaire. Please provide required sales draft document (s) and resend the case "
"Questionnaire - General","E-121000019","Dispute Reason Code and Dispute Group Code combination is invalid","Member has provided an invalid dispute reason and dispute group. Please correct the values and resend the case"
"Questionnaire - General","E-121000020","This case must be continued with RED reason codes.","Member has already submitted a questionnaire in the case using a RED reason code.  You must continue the dispute using RED reason codes.  Please correct the value and resend the case."
"Questionnaire - General","E-121000021","This case must be continued with pre-RED reason codes.","Member has already submitted a questionnaire in the case using a pre-RED reason code.  You must continue this dispute using pre-RED reason codes.  Please correct the value and resend the case."
"Questionnaire - General","E-121000022","A 2nd Chargeback cannot be submitted for ATM cash disbursements.","Member has provided an invalid 2nd Chargeback request. Please correct and resend the case."
"Questionnaire - General","E-121000023","ROL case numbers must be numeric and at least 10 digits.","Member has provided an invalid ROL case number. Please provide a ROL case number as documented in the Interface Specifications and resend the case."
"Questionnaire - General","E-121000024","Invalid AccountNumber. AccountNumber must be 16 or 19 digits.","Member has provided an invalid account number. Please provide a valid account number as documented in the Interface Specifications and resend the case."
"Questionnaire - General","E-121000025","MCC must be 4 digits.","Member has provided an invalid MCC. Please provide a valid MCC as documented in the Interface Specifications and resend the case."
"Questionnaire - General","E-121000026","Invalid ARN.","Member has provided an invalid ARN. Please provide a valid ARN as documented in the Interface Specifications and resend the case."
"Questionnaire - General","E-121000027","Invalid Amount. This entry must be numeric.","The Amount provided is invalid. Please correct and resend the case."
"Questionnaire - General","E-121000028","ReimbursementAttribute is required.","Member has not provided the required element ReimbursementAttribute.  Please correct and resend the case."
"Questionnaire","E-121000030","Invalid SystemTraceAuditNumber. Value must be numeric with an exact length of 6 digits.","Member has provided invalid System Trace Audit number. Please resubmit with correct data."
"Questionnaire - General","E-121000031","You must provide a MerchantCountrySubEntityCode.","Member has not provided a required field for the Dispute Group and Reason Code. Please provide the “merchant state” and resend the case."
"Questionnaire - General","E-121000032","DamagedGoodsDesc is required.","Member has not provided a required field for the Dispute Group and Reason Code. Please provide the “damaged goods description” and resend the case."
"Questionnaire - General","E-121000033","Invalid state/province code.","Member has provided an invalid state or province code.  Please correct and resend the case."
"Questionnaire - General","E-121000034","An internal system error has occurred.  Error Details: Failed to add a new questionnaire.  Please contact <regional contact information>.","An unidentified exception occurred while processing the questionnaire.  Please contact ROL support for your region."
"Questionnaire","E-121000036","AcquirerBIN is required","Member has not provided Acquirer Bin. Please resubmit with data."
"Questionnaire","E-121000037","SystemTraceAuditNumber is required","Member has not provided System Trace Audit Number. Please resubmit with data."
"Questionnaire","E-121000038","RetrievalReferenceNumber is required.","Member has not provided Retrival Reference Number. Please resubmit with data."
"Multiple","E-121000040","Invalid NetworkID","Member has provided invalid NetworkID. Please resubmit with correct data."
"Questionnaire","E-121000041","You must provide either PostedAdjustmentInvalidInd or one of AdjPostedToClosedOrNonSufficientFundsInd, AdjProcessedMoreThan45DaysInd,  AdjProcessedMoreThanOnceInd or CardholderDisputeValidityOfAdjustmentInd.","Member has not provided a field that is required to process an Interlink chargeback with Reason code 2480 Transction. Please provide one of the XML element <PostedAdjustmentInvalidInd> or <AdjPostedToClosedOrNonSufficientFundsInd> or <AdjProcessedMoreThan45DaysInd> or <AdjProcessedMoreThanOnceInd> or <CardholderDisputeValidityOfAdjustmentInd> and resubmit."
"Questionnaire","E-121000042","You must provide one of PostedAdjustmentInvalidDataCode, PostedAdjustmentNonMatchingANInd or PostedAdjustmentOtherInvalidDataInd.","This message is valid only forInterlink Chargeback with reason code 2480.  Member has provided <PostedAdjustmentInvalidReasonCode > = Y and has not provided value for Either <PostedAdjustmentInvalidDataCode> or <PostedAdjustmentNonMatchingANInd> or <PostedAdjustmentOtherInvalidDataInd>. Please provide data for one of element above and resubmit."
"Questionnaire","E-121000048","You must provide either AdjustmentPostedAccountClosedInd or AdjustmentPostedNSFInd.","This message is valid only for Interlink Chargeback with Reason Code 2480. Member has provided AdjPostedToClosedOrNonSufficientFundsInd = Y and has not provided value for Either <AdjustmentPostedAccountClosedInd> or <AdjustmentPostedNSFInd>. Please provide data for one of element above and resubmit"
"Questionnaire","E-121000049","FirstAdjustmentDated is required","This Message is valid only for Interlink Chargeback with Reason Code 2480. Member has provided AdjProcessedMoreThanOnceInd = Y and has not provided value for <FirstAdjustmentDated>. Please provide data for <FirstAdjustmentDated> and resubmit."
"Questionnaire","E-121000050","You must provide one of CardHolderDisputeValidityOfAdjustmentDueToErroredAmountInd,  CHDisputeValidityOfAdjustmentDueToCanceledTransactionInd, CHDisputeValidityOfAdjustmentDueToReversedTransactionInd or  CHDisputeValidityOfAdjustmentDueToOtherReasonInd.","This Message is valid only for Interlink Chargeback with Reason Code 2480.Member has provided CardholderDisputeValidityOfAdjustmentInd=Y and has not provided value for Either <CardHolderDisputeValidityOfAdjustmentDueToErroredAmountInd> or <CHDisputeValidityOfAdjustmentDueToCanceledTransactionInd> or <CHDisputeValidityOfAdjustmentDueToReversedTransactionInd> or CHDisputeValidityOfAdjustmentDueToOtherReasonInd>. Please provide data for one of element above and resubmit."
"Questionnaire","E-121000051","You must provide either AmountPosted and CardholderSalesDraft.","For Interlink Chargeback transaction with reason code 2480 member has provided CardholderDisputeValidaityOfAdjustmentInd =Y and CHDisputeValidyOfAdjustmentDueToErroredAmountInd = Y.  For Interlink Chargeback transaction with reason code 2498 member has provided AcquirerProcessedIncorrectTransactionInd = Y or CHTransactionReceiptContainsErrorInd = Y. Please resubmit with <AmountPosted> or <CardholderSalesDraft>."
"Questionnaire","E-121000052","You must provide one of AcquirerProcessedIncorrectTransactionInd,  CHTransactionReceiptContainsErrorInd,  CHPaidForTransactionByAlternateInd,  TransactionProcessedMoreThan10DaysFromTranDateInd or TransactionProcessedWithAuthorizationFromInvalidDataInd","Member has not provided a field that is required to process an chargeback Transction for Interlink network with reason code 2498. Please provide one of the XML element <AcquirerProcessedIncorrectTransactionInd> or <CHTransactionReceiptContainsErrorInd> or <CHPaidForTransactionByAlternateInd> or <TransactionProcessedMoreThan10DaysFromTranDateInd> or <TransactionProcessedWithAuthorizationFromInvalidDataInd> and resubmit."
"Questionnaire","E-121000053","You must provide ExplainWhatWasIncorrect","This Message is valid only for Interlink Chargeback with Reason Code 2480. Member has provided TransactionProcessedWithAuthorizationFromInvalidDataInd =Y. Please  provide value for ExplainWhatWasIncorrect and resubmit again."
"Questionnaire","E-121000054","A Representment Reversal is not supported","Member submitted a Representment Reversal which is not supported on SMS"
"Global","E-121000056","The submitted form cannot be added to the matching case.","Member requested that a form be added to an existing case.  VROL determined that the form must go in a new case.  VROL does not currently support chargeback cycle, compliance cycle, and good faith actions in the same case. Please resubmit the form using a case “Add” operation."
"Questionnaire","E-121000058","You must provide either ARN or Acquirer BIN.","Member has not provided ARN or Acquirer BIN while pending Representment Questionnaire. Please pend with value in either field"
"Questionnaire","E-121000059","Invalid RetrievalReferenceNumber. Value must be numeric with an exact length of 12 digits.","Member has provided invalid  RetrievalReferenceNumber. Please resubmit with correct data"
"Questionnaire","E-121000060","You must enter an explanation in the Additional Comments section.","Member doesn't provide any value in <MoreInfoComment> element"
"Pre-Filing","E-121000061","You cannot submit a Pre-Arbitration or Pre-Compliance as a case filing has been pended or submitted.","Member submitted a Pre-Arbitration or Pre-Compliance form for a case where a Filing has already been pended or submitted and a final ruling has not yet been submitted.  You may respond to the case filing using the online screens."
"CBREPRE","E-121000063","Case doesn't have financial or financial advice. You cannot add questionnaire to a case with no financial or financial advice. Please resubmit with financial.","Member tries to submit CB/Repre questionnaire in a case which doesn't have financial or financial advice."
"Chargeback","E-121000065","You cannot proceed with chargeback. Based on the Chargeback Rights Indicator field in the original transaction (XX - <Description text>) and reason code in the chargeback financial, this chargeback may be invalid.","Error upon submission of a Chargeback Financial based on the Reason Code selected and the Chargeback Rights Indicator (CRI) value present in the settled original transaction and Override flag = N."
"CBRepre","E-121000066","<Chargeback/Representment> Financials are not supported on this network and transaction type combination.","BaseII user performing the CB/Repre FIN on n/w other than Plus, Master Card and Cirrus with Tran Type value as ""Deposit"""
"Multiple","E-121000068","Internal system error has occurred. Please contact your regional ROL Help Desk.  Error Details:  Database update failed.","Database update failed"
"Chargeback/Representment/2nd CB","E-121000069","Repair transactions can not be submitted for review.","BulkSI/RTSI member submits a CB/2nd CB/Repre form into an existing case that already contains a form of same type in rejected status."
"Questionnaire - General","E-121000070","Invalid DisputeGroupCode","Member has provided an invalid dispute group.  Please correct and resend the case."
"Questionnaire - General","E-121000071","DisputeGroupCode is not a valid field for a Pre-Compliance questionnaire.","Member has provided a DisputeGroupCode for a pre-compliance questionnaire.  Please correct and resend the case."
"Questionnaire - General","E-121000072","Invalid DisputeReasonCode.","Member has provided an invalid dispute reason.  Please correct and resend the case."
"Questionnaire - General","E-121000073","Invalid FirstRuleViolatedCode in pre-compliance questionnaire.","Member has provided an invalid FirstRuleViolatedCode.  Please correct and resend the case."
"Questionnaire - General","E-121000074","Invalid SecondRuleViolatedCode in pre-compliance questionnaire","Member has provided an invalid SecondRuleViolatedCode.  Please correct and resend the case."
"Questionnaire - General","E-121000075","Invalid ThirdRuleViolatedCode in pre-compliance questionnaire","Member has provided an invalid ThirdRuleViolatedCode.  Please correct and resend the case."
"Questionnaire - General","E-121000076","Invalid combination of DisputeGroupCode, DisputeReasonCode, QuestionnaireDescriptor “type”, DisputeRuleSetCode,  and MCC for the jurisdiction.","Member has provided an invalid combination of DisputeGroupCode, DisputeReasonCode, QuestionnaireDescriptor “type”, DisputeRuleSetCode, MCC for the jurisdiction.  Please correct and resend the case."
"Case Folder","E-121000077","This questionnaire is no longer supported.","Member submitted a questionnaire that is no longer supported.  Please resubmit using a currently supported questionnaire."
"Chargeback","E-121000078","You cannot proceed with chargeback. This transaction qualifies as a Visa non-CPS  small ticket, no signature required, transaction, this chargeback may be invalid.","Member has submitted chargeback and based on transaction amount, MCC, network, dispute reason code, chargeback rights indicator and jurisdiction, chargeback may not be valid. Override flag is not set."
"Questionnaire","E-121000079","Chargeback and Representment Questionnaires are not supported for this network.","Questionnaire is supported for Visa (Non-POS Check), Interlink, Plus,Cirrus, Master card . If SI user try to add questionnaire for other networks then error should be provided."
"GoodFaith","E-121000080","You must provide a <PaymentInstructions>.","Member has selected  “Other” option but has not provided  text for “Payment instruction”"
"Representment","E-121000082","The Representment must be submitted in the same case as its corresponding Chargeback"," Hard stop error when SI acquirer initiate representment (financial, QN or combo form), or submitting a manual representment in a case without a chargeback financial or chargeback financial advice from Bulk and RTSI for Visa network."
"Multiple","E-121000085","Processing code is not supported for financial processing via BaseII. Resubmit request with <TransactionCategory>.","Member is submitting financial via SI and member is configured to process financial via baseII."
"Case Folder","E-121000099","Invalid Agent Unique Id.  This entry must not exceed 5 characters.","Memberr submitted Chargeback/repreentment/Adjustment and Fraud upload request with invalid value for AgentUniqueId (more than 5 characters). Please correct and resend the request."
"TI","E-121000101","A card/account number is required for Credit/Reversal/Adjustment. Please provide a Card/Account Number and resumbit the request.","A card/account number is required for Credit/Reversal/Adjustment. Please provide a Card/Account Number and resumbit the request."
"Case Filing","E-121000174","This questionnaire has been <pended/submitted> by another user. ","Member pended or submitted a case filing [or filing response] for a case  where they have already pended or submitted the same form.  
"
"Questionnaire - TranHeader","E-121000180","You must provide an AccountNumber. ","Member has not provided a required field. Please provide the field “account number” and resend the case."
"Questionnaire - TranHeader","E-121000181","You must provide an ARN.","Member has not provided a required field. Please provide the field “acquirer reference number” and resend the case."
"Questionnaire - TranHeader","E-121000182","You must provide a TranDate.","Member has not provided a required field. Please provide the field “ transaction date” and resend the case."
"Questionnaire - TranHeader","E-121000183","You must provide an Amount.","Member has not provided a required field. Please provide the field “transaction amount” and resend the case"
"Questionnaire - TranHeader","E-121000184","You must provide a MCC.","Member has not provided a required field. Please provide the field “merchant category code” and resend the case"
"Questionnaire - TranHeader","E-121000185","You must provide a TransactionCategory.","Member has not provided a required field. Please provide the field “transaction type” and resend the case"
"Questionnaire - TranHeader","E-121000186","You must provide a CPD for the disputed transaction.","Member has not provided a required field. Please provide the field “central processing date” and resend the case"
"Questionnaire - TranHeader","E-121000187","You must provide a MerchantCountryCode.","Member has not provided a required field. Please provide the field “country code” and resend the case."
"Questionnaire - TranHeader","E-121000188","You must provide a MerchantName.","Member has not provided a required field. Please provide the field a “merchant name” and resend the case"
"Questionnaire - TranHeader","E-121000189","You must provide a MerchantCity.","Member has not provided a required field. Please provide the field “merchant city” and resend the case"
"Questionnaire - Dispute Info","E-121000200","DisputeGroupCode is required. ","Member has not provided a field that is required to process/match questionnaire. Please provide the field “Dispute Group” and resend the case."
"Questionnaire - Dispute Info","E-121000201","DisputeReasonCode is required. ","Member has not provided a field that is required to process/match questionnaire. Please provide the field “Dispute Reason” and resend the case."
"Questionnaire - Dispute Info","E-121000202","DisputeAmt is required. ","Member has not provided a field that is required to process/match questionnaire. Please provide the field “Dispute amount” and resend the case."
"Questionnaire - Chargeback","E-121000203","GoodsServicesCode is required.","Member has not provided a field that is required to process/match questionnaire. Please provide the field “What was purchased?” and resend the case"
"Questionnaire - Chargeback","E-121000204","GoodsServicesOrderedDesc is required for groups 200.","Member has not provided a field that is required to process/match questionnaire. Please provide the field “Describe the Merchandise/Services ordered” and resend the case"
"Questionnaire - Chargeback","E-121000205","ReceivedDate is required for dispute groups 200 or 400 and Reason Code is not 24, 94 or 95.","Member has not provided a field that is required to process/match questionnaire. Please provide the field “Cardholder Received Merchandise/Services On” and resend the case."
"Questionnaire - Chargeback","E-121000207","CancelReturnCode is required for dispute group 200.","Member has not provided a field that is required to process/match questionnaire. Please provide the field “Cancel or Return?” and resend the case."
"Questionnaire - Chargeback","E-121000208","StatementAmt  is required for dispute group 500.","Member has not provided a field that is required to process/match questionnaire. Please provide the field “What does the statement show?” and resend the case."
"Questionnaire - Chargeback","E-121000209","ReceiptAmt is required for dispute group 500.","Member has not provided a field that is required to process/match questionnaire. Please provide the field “What does the receipt show? “ and resend the case."
"Questionnaire - Chargeback","E-121000210","IncorrectTranCodeAmt is required for dispute group 500.","Member has not provided a field that is required to process/match questionnaire. Please provide the field “Amount” and resend the case."
"Questionnaire - Chargeback","E-121000211","IncorrectTranReceiptNum is required for dispute group 500.","Member has not provided a field that is required to process/match questionnaire. Please provide the field “Invoice/Receipt Number” and resend the case"
"Questionnaire - Chargeback","E-121000212","ATMContactName is required for all ATM transactions. ","Member has not provided a field that is required to process/match questionnaire. Please provide the field “Contact Name” and resend the case"
"Questionnaire - Chargeback","E-121000213","ATMRefNum is required for RED reason Processing Errors, sub-group Duplicate.","Member has not provided a field that is required to process/match questionnaire. Please provide the field “Reference #” and resend the case"
"Questionnaire - Chargeback","E-121000214","ReturnDate is required for dispute groups 200 or 400.","Member has not provided a field that is required to process/match questionnaire. Please provide the field “Return Date” and resend the case"
"Questionnaire - Chargeback","E-121000215","ReturnMethodDesc is required for dispute groups 200 or 400.","Member has not provided a field that is required to process/match questionnaire. Please provide the field “Return Method” and resend the case"
"Questionnaire - Chargeback","E-121000216","OtherMethodDesc is required for dispute groups 200 or 400.","Member has not provided a field that is required to process/match questionnaire. Please provide the field “Other Method” and resend the case"
"Questionnaire - Chargeback","E-121000217","CancelDate is required for dispute group 200.","Member has not provided a field that is required to process/match questionnaire. Please provide the field “Cancel Date ” and resend the case"
"Questionnaire - Chargeback","E-121000218","VoucherDate is required for dispute groups 200,400 or 500.","Member has not provided a field that is required to process/match questionnaire. Please provide the field “Date of Voucher or Refund Acknowledgement” and resend the case"
"Questionnaire - Chargeback","E-121000219","ATRInd is required.","Member has not provided a field that is required to process/match questionnaire. Please provide the field “Did the cardholder attempt to resolve with the merchant?” and resend the case"
"Questionnaire - Chargeback","E-121000220","ATRContactDate is required for all non-ATM transactions.","Member has not provided a field that is required to process/match questionnaire. Please provide the field “Date of most recent contact” and resend the case"
